Tipo de Derivado;Derivados de petróleo;Ano;Produção (m3)
Energético;QAV;2018;6376333
Energético;Querosene iluminante;2018;5659,363
Energético;Outros4;2018;0
Não energético;Asfalto;2018;1899816,093
Não energético;Coque5;2018;4468571,829
Não energético;Nafta6;2018;4050230,629
Não energético;Óleo lubrificante ;2018;602881
Não energético;Parafina;2018;126196,8223
Não energético;Solvente;2018;335704,9262
Não energético;Outros7;2018;2549987,989
